"downloaded","item_id","item_definition","category","8","9","11","12","13","14","15","16"
2023-12-01,298,"fête","outside_places",0.02,0,0,0.08,0.06,0,0.5,0
2023-12-01,299,"fleur","outside_places",0.02,0.25,0.07,0.15,0.2,0.17,0.5,0.4
2023-12-01,300,"garderie","outside_places",0,0,0.04,0.04,0.01,0,0,0.6
2023-12-01,301,"jardin","outside_places",0.02,0,0.07,0.04,0.14,0.12,0.5,0
2023-12-01,302,"lune","outside_places",0,0.25,0.04,0,0.02,0,0,0.4
2023-12-01,303,"magasin","outside_places",0.02,0,0.07,0.12,0.12,0,0,0.2
2023-12-01,304,"maison","outside_places",0.11,0.25,0.25,0.27,0.35,0.25,1,0.6
2023-12-01,305,"neige","outside_places",0.02,0,0,0,0.05,0,0,0.2
2023-12-01,306,"parc","outside_places",0.02,0,0.14,0.19,0.22,0.08,1,0.2
2023-12-01,307,"pelle","outside_places",0.02,0,0,0,0.06,0.08,0.5,0.4
2023-12-01,308,"piscine","outside_places",0,0.25,0.04,0.04,0.12,0,0,0.6
2023-12-01,309,"plage","outside_places",0,0,0.04,0.08,0.09,0.04,0,0.2
2023-12-01,310,"pluie","outside_places",0.06,0.25,0.07,0.15,0.12,0.04,0.5,0
2023-12-01,311,"soleil","outside_places",0.04,0,0.04,0.12,0.15,0,0.5,0.2
2023-12-01,312,"toboggan","outside_places",0.11,0,0.07,0.23,0.26,0.17,0,0
2023-12-01,313,"travail","outside_places",0.04,0,0.11,0.08,0.12,0,0.5,0
2023-12-01,314,"zoo","outside_places",0.02,0,0,0,0.03,0,0,0.2
2023-12-01,315,"avion","vehicles",0.02,0.25,0.04,0.04,0.1,0.08,0.5,0.2
2023-12-01,316,"bus","vehicles",0.09,0,0.07,0.08,0.08,0.04,0.5,0.2
2023-12-01,317,"camion","vehicles",0.06,0.25,0.11,0.08,0.09,0.04,0.5,0.2
2023-12-01,318,"camion de pompier","vehicles",0.02,0,0,0,0.05,0,0,0.2
2023-12-01,319,"moto","vehicles",0.04,0,0.07,0.04,0.08,0.04,0,0.2
2023-12-01,320,"poussette","vehicles",0.32,0.25,0.39,0.46,0.53,0.42,1,1
2023-12-01,321,"train","vehicles",0.06,0.25,0.14,0.12,0.14,0.04,1,0.2
2023-12-01,322,"vélo","vehicles",0.02,0.25,0.07,0.08,0.13,0.04,0.5,0.4
2023-12-01,323,"voiture","vehicles",0.13,0.25,0.29,0.27,0.44,0.17,1,0.4
2023-12-01,324,"attention","descriptive_words",0.21,0.25,0.46,0.38,0.53,0.46,0.5,0.6
2023-12-01,325,"avoir faim","descriptive_words",0.15,0.25,0.21,0.5,0.37,0.17,1,0.4
2023-12-01,326,"avoir peur","descriptive_words",0.04,0.25,0.07,0.12,0.03,0,0.5,0.2
2023-12-01,327,"avoir soif","descriptive_words",0.06,0.25,0.14,0.27,0.27,0.17,1,0.2
2023-12-01,328,"beau/belle","descriptive_words",0.15,0,0.25,0.19,0.2,0,0.5,0.2
2023-12-01,329,"bien","descriptive_words",0.09,0,0.11,0.23,0.27,0.29,0.5,0.4
2023-12-01,330,"blessé","descriptive_words",0.09,0,0,0.23,0.07,0,0,0.2
2023-12-01,331,"bleu","descriptive_words",0.02,0,0,0,0.03,0,0,0
2023-12-01,332,"bon/ne","descriptive_words",0.17,0,0.14,0.38,0.26,0.12,0,0.2
2023-12-01,333,"cassé","descriptive_words",0.04,0,0.07,0,0.09,0.12,0,0.2
